Phenotype,Category,n CpGs,Author,Year,Title,DOI,Based on,Reference,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
C-reactive protein,Biological markers,7.0,Barker et al.,2018.0,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,10.1017/s0954579418000330,Pre-established MPS,[Ligthart (2016)](https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1119-5),Population-based,785.0,Birth,Cord blood,450K,European,"['Barker, E. D.', 'Cecil, C. A. M.', 'Walton, E.', 'Houtepen, L. C.', ""O'Connor, T. G."", 'Danese, A.', 'Jaffee, S. R.', 'Jensen, S. K. G.', 'Pariante, C.', 'McArdle, W.', 'Gaunt, T. R.', 'Relton, C. L.', 'Roberts, S.']",2018-08-07
C-reactive protein,Biological markers,7.0,Barker et al.,2018.0,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,10.1017/s0954579418000330,Pre-established MPS,[Ligthart (2016)](https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1119-5),Population-based,785.0,Mid childhood,Peripheral blood,450K,European,"['Barker, E. D.', 'Cecil, C. A. M.', 'Walton, E.', 'Houtepen, L. C.', ""O'Connor, T. G."", 'Danese, A.', 'Jaffee, S. R.', 'Jensen, S. K. G.', 'Pariante, C.', 'McArdle, W.', 'Gaunt, T. R.', 'Relton, C. L.', 'Roberts, S.']",2018-08-07
C-reactive protein,Biological markers,7.0,Barker et al.,2018.0,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,10.1017/s0954579418000330,Pre-established MPS,[Ligthart (2016)](https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1119-5),Population-based,785.0,Mid childhood,Peripheral blood,450K,European,"['Barker, E. D.', 'Cecil, C. A. M.', 'Walton, E.', 'Houtepen, L. C.', ""O'Connor, T. G."", 'Danese, A.', 'Jaffee, S. R.', 'Jensen, S. K. G.', 'Pariante, C.', 'McArdle, W.', 'Gaunt, T. R.', 'Relton, C. L.', 'Roberts, S.']",2018-08-07
C-reactive protein,Biological markers,7.0,Barker et al.,2018.0,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,10.1017/s0954579418000330,Pre-established MPS,[Ligthart (2016)](https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1119-5),Population-based,785.0,Mid childhood,Peripheral blood,450K,European,"['Barker, E. D.', 'Cecil, C. A. M.', 'Walton, E.', 'Houtepen, L. C.', ""O'Connor, T. G."", 'Danese, A.', 'Jaffee, S. R.', 'Jensen, S. K. G.', 'Pariante, C.', 'McArdle, W.', 'Gaunt, T. R.', 'Relton, C. L.', 'Roberts, S.']",2018-08-07
ADNP-1 syndrome,Genetic syndromes,163.0,Bend et al.,2019.0,Gene domain-specific DNA methylation episignatures highlight distinct molecular entities of ADNP syndrome,10.1186/s13148-019-0658-5,Raw individual-level data,,Case control,55.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Bend, E. G.', 'Aref-Eshghi, E.', 'Everman, D. B.', 'Rogers, R. C.', 'Cathey, S. S.', 'Prijoles, E. J.', 'Lyons, M. J.', 'Davis, H.', 'Clarkson, K.', 'Gripp, K. W.', 'Li, D.', 'Bhoj, E.', 'Zackai, E.', 'Mark, P.', 'Hakonarson, H.', 'Demmer, L. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Rodenhiser, D.', 'Friez, M. J.', 'Stevenson, R. E.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-27
ADNP-2 syndrome,Genetic syndromes,163.0,Bend et al.,2019.0,Gene domain-specific DNA methylation episignatures highlight distinct molecular entities of ADNP syndrome,10.1186/s13148-019-0658-5,Raw individual-level data,,Case control,55.0,Early childhood,Peripheral blood,EPICv1,Not reported,"['Bend, E. G.', 'Aref-Eshghi, E.', 'Everman, D. B.', 'Rogers, R. C.', 'Cathey, S. S.', 'Prijoles, E. J.', 'Lyons, M. J.', 'Davis, H.', 'Clarkson, K.', 'Gripp, K. W.', 'Li, D.', 'Bhoj, E.', 'Zackai, E.', 'Mark, P.', 'Hakonarson, H.', 'Demmer, L. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Rodenhiser, D.', 'Friez, M. J.', 'Stevenson, R. E.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-27
Alcohol consumption,Lifestyle and environment,659.0,Bernabeu et al.,2025.0,Blood-based epigenome-wide association study and prediction of alcohol consumption,10.1186/s13148-025-01818-y,Published summary statistics (semi-supervised),"Multiple ([Liu (2018)](https://www.nature.com/articles/mp2016192), [Dugue (2019)](https://pubmed.ncbi.nlm.nih.gov/31789449/), [Carreras-Gallo (2023)](https://pubmed.ncbi.nlm.nih.gov/37216580/))",Population-based,2152.0,Adolescence,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Bernabeu, E.', 'Chybowska, A. D.', 'Kresovich, J. K.', 'Suderman, M.', 'McCartney, D. L.', 'Hillary, R. F.', 'Corley, J.', 'Valdes-Hernandez, M. D. C.', 'Maniega, S. M.', 'Bastin, M. E.', 'Wardlaw, J. M.', 'Xu, Z.', 'Sandler, D. P.', 'Campbell, A.', 'Harris, S. E.', 'McIntosh, A. M.', 'Taylor, J. A.', 'Yousefi, P.', 'Cox, S. R.', 'Evans, K. L.', 'Robinson, M. R.', 'Vallejos, C. A.', 'Marioni, R. E.']",2025-01-25
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,6073.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Published summary statistics (semi-supervised),[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,204.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Rauschert (2020)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking,Lifestyle and environment,19.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking (newborns),Lifestyle and environment,568.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Richmond (2018)](https://pubmed.ncbi.nlm.nih.gov/29860346/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking (newborns),Lifestyle and environment,568.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Richmond (2018)](https://pubmed.ncbi.nlm.nih.gov/29860346/),Population-based,747.0,Adolescence,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
Maternal smoking (newborns),Lifestyle and environment,568.0,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,Pre-established MPS,[Richmond (2018)](https://pubmed.ncbi.nlm.nih.gov/29860346/),Population-based,753.0,Mid childhood,Saliva,450K,Mixed,"['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-07
